season_id,timestamp,scryfallId,card_name,tags
Season-1,2021-09-01,0015ef55-4b85-4147-9974-b3ff4a1487c3,Harmonize,['Green']
Season-1,2021-09-01,0027e5ca-8046-40a0-bd73-79be55f28bff,Remand,['Blue']
Season-1,2021-09-01,005dae9a-dddc-4a11-95bb-cce319edcce4,Skullclamp,['Colorless']
Season-1,2021-09-01,006d2bf1-20f7-4b09-8d98-8233d91682bd,Flame Slash,['Red']
Season-1,2021-09-01,00d03b17-75ae-40d2-8570-b219ef0dfd4a,Mindslaver,['Colorless']
Season-1,2021-09-01,00e58486-07a5-4a2d-8563-22c7f14c0a6e,Song of the Dryads,['Green']
Season-1,2021-09-01,00f9955f-a522-47bf-b064-92dd21a76b18,Solemn Simulacrum,['Colorless']
Season-1,2021-09-01,01006833-6007-4c16-9ebb-20d31c60a57a,Taiga,['Lands']
Season-1,2021-09-01,0135ada3-e5ae-4382-a717-872839bf1d5a,Garruk Wildspeaker,['Green']
Season-1,2021-09-01,01794178-cf41-454c-ac37-1d8b18e42db2,Green Sun's Zenith,['Green']
Season-1,2021-09-01,017c415b-d635-43c6-92b8-8c95d1c4ff8d,Force of Vigor,['Green']
Season-1,2021-09-01,0183c540-9b05-4e65-b2a5-b062754020da,Cryptic Command,['Blue']
Season-1,2021-09-01,01978fe5-00a9-4add-ae2a-b4c2572ffb9a,Vendilion Clique,['Blue']
Season-1,2021-09-01,01c6f877-6b00-4d57-8a88-36cd3b16edbc,Llanowar Elves,['Green']
Season-1,2021-09-01,01e7b0bc-1c6c-48f4-8b72-1a809f536c6c,Birds of Paradise,['Green']
Season-1,2021-09-01,02138fbb-3962-4348-8d31-faaefba0b8b2,Raugrin Triome,['Lands']
Season-1,2021-09-01,02551196-ecea-472f-9547-3c9658d0489e,Ravenous Chupacabra,['Black']
Season-1,2021-09-01,0263c742-345b-4425-8326-75bfa60e08ea,Sundering Titan,['Colorless']
Season-1,2021-09-01,02902fcc-eefc-4e81-aafd-59fa203a71d7,Eternal Witness,['Green']
Season-1,2021-09-01,029b6d93-0f7a-4df4-8c01-96cbd5e03315,Search for Tomorrow,['Green']
Season-1,2021-09-01,02c175df-2e9b-4064-9271-d85e4dd4c94d,Pernicious Deed,['Multicolored']
Season-1,2021-09-01,02c532e8-21f1-4d6f-a931-1ea48a6aeea2,Coalition Relic,['Colorless']
Season-1,2021-09-01,02d6d693-f1f3-4317-bcc0-c21fa8490d38,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",['Blue']
Season-1,2021-09-01,02f0067c-2d38-46bd-b52e-070c2ce424f0,Tooth and Nail,['Green']
Season-1,2021-09-01,030b7ddc-dcf0-433a-b09e-27f117430e7b,Lotus Bloom,['Colorless']
Season-1,2021-09-01,030e46a1-64a7-47e3-9b9f-82a22fe3734b,Consecrated Sphinx,['Blue']
Season-1,2021-09-01,0324641d-af55-4c53-b4dc-c8262e967da5,Volcanic Island,['Lands']
Season-1,2021-09-01,0359f212-9564-41a9-870b-d2c57455a695,Brainstorm,['Blue']
Season-1,2021-09-01,03cc5caf-b2d7-4211-a1a4-f0ad6e70e3f4,Sword of Body and Mind,['Colorless']
Season-1,2021-09-01,03dea775-bbb3-4e9c-8514-0605b5ad2e8b,Avenger of Zendikar,['Green']
Season-1,2021-09-01,03f442e9-a69b-4d03-959d-1f82793d8242,Wall of Blossoms,['Green']
Season-1,2021-09-01,045ce37b-86d2-4e56-84af-b6625b53d13c,Path to Exile,['White']
Season-1,2021-09-01,0463e989-ba32-4a46-a82f-e0d6daf3cd51,Sulfuric Vortex,['Red']
Season-1,2021-09-01,04bf7e2b-a05f-4ce6-b64c-809b74790b59,Unexpectedly Absent,['White']
Season-1,2021-09-01,04fc99dc-bfbe-4567-b791-6b1db96471ec,Reanimate,['Black']
Season-1,2021-09-01,054f2276-2dd5-43da-bb26-c57c560861fe,Steam Vents,['Lands']
Season-1,2021-09-01,05812009-d1b8-4775-8188-f05cfdb4feed,Worn Powerstone,['Colorless']
Season-1,2021-09-01,0596155d-8f83-40ca-be31-9a0df1ced65e,Wall of Omens,['White']
Season-1,2021-09-01,059e8447-6b1c-4651-a734-a8fea2cbf7b2,Bloodchief's Thirst,['Black']
Season-1,2021-09-01,05bd329b-5707-42fc-af1c-084cc604e805,Imperial Recruiter,['Red']
Season-1,2021-09-01,05cf51d8-9f91-42ff-99e9-4397f2251c20,Dark Confidant,['Black']
Season-1,2021-09-01,05e2a5e6-3aaa-4096-bdd0-fcc1afe5a36c,"Legion's Landing // Adanto, the First Fort",['White']
Season-1,2021-09-01,05e8a4ea-8c0d-4284-ac23-80e19fdde11d,Myr Battlesphere,['Colorless']
